Tipo,STB,Turno,Analista,Fecha,Canal,Video,Audio Pri,Audio Sec,Logo,EPG,Novedad,Observación,Último Revisor,Siguiente Analista
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 22 - ZooMoo HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 23 - PLIMPLIM HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 24 - Senal Col HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 25 - Win SpHD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 26 - ESPN HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 27 - ESPN2 HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 28 - ESPN3 HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 29 - ESPN4 HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 30 - ESPN5 HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 31 - ESPN6 HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 32 - ESPN7 HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 33 - PXSports HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 34 - DBIKE HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 35 - PADEL TV HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 36 - Discovery HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 37 - Animal HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 38 - LoveNat HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 39 - H&H HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 40 - TLC HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 41 - NatGeo HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 42 - History HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 43 - H2 HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 44 - Film&Arts HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 45 - MUSEUM HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 46 - VENE HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 47 - ESPORTSM HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 49 - Cinecan+ HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 50 - Univers HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 51 - Studio Uni HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 52 - SONY MOV HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 53 - TNT HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 54 - TCM","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 55 - Space HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 56 - Cinemax HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 57 - AMC HD 57","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 58 - MOVIEFE","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 59 - DHE HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 60 - Golden HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 61 - Golden Edge","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 62 - Europa HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 63 - Eurochanne","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 65 - DePelicula","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 66 - Multiprem","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 67 - CINELAT HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 68 - Dcomedia","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 69 - CINDIEFAST HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 71 - ID HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 72 - Warner HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 73 - Sony HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 74 - A&E HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 75 - StarChan HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 76 - FX HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 77 - AXN HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 78 - TNT Series","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 79 - ADULTSW HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 80 - Lifetime HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 81 - USANET HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 82 - Comedy HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 83 - STARTVE HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 84 - A3SER HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 85 - Caracol Novela","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 86 - RCN Novela","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 87 - TL Novelas","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 88 - TNT NOVELAS","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 89 - KanalD HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 90 - VePlus TV HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 91 - Pasiones HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 93 - NOVELISIMA HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 94 - TeleVidHD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 95 - EWTN","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 96 - Enlace","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 97 - Cristovis","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 98 - TV Famili HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 99 - DAYS HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 100 - CCongreso","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 101 - Zoom","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 102 - Telecaribe","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 103 - TPacifico","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 104 - Telecafe","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 105 - CanalCapit","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 106 - Canal TR3CE","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 107 - TRO","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 108 - Teleislas","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 109 - ATN","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 110 - Telepetrol","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 111 - Enlace TV","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 112 - TVC","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 113 - CCartagen","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 114 - Cali TV","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 115 - C Universi","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 116 - Teleamiga","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 117 - CNNEspa","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 118 - NTN 24","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 119 - El Tiempo","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 120 - Cablenotic","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 121 - BBCNewsHD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 122 - CNNIntern","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 123 - AlJazeera HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 125 - MTV HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 128 - HTV","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 129 - TelehitHD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 130 - TelehitU HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 131 - Migente","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 134 - Allegro HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 135 - MAXANIME HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 136 - Gourmet HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 137 - FoodNet HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 138 - ALACOCINA","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 141 - NuestraTel","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 142 - Estrellas HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 143 - E!Enterta HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 144 - Telemundo HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 145 - HolaTV HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 146 - AMCSERIES HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 147 - SHOWBUS","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 148 - Univision","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 149 - MASTALK","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 150 - CARAS HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 151 - Bloomberg HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 152 - BitMe HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 153 - Sun HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 154 - AGROT HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 155 - MYZEN HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 156 - Antena3 HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 157 - DW Latin","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 158 - TVE","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 159 - 24HS HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 160 - France24 HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 161 - EURONEWS HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 162 - TV 5 HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 163 - UCL HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 164 - GolfCh HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 165 - Theater HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 166 - World HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 167 - HGTV HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 168 - Science HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 169 - Turbo HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 200 - RCN","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 201 - Caracol","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 238 - WinPromo","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
"Monitoreo","Cisco PDS2100","T1","Sofía","2026-07-23T01:03:46.586Z","Canal 239 - Win + HD","V OK","A1 OK","A2 OK","L OK","E OK","","","",""
